ID_registro,ano,mes,ID_indicador,ID_cooperativa,valor
179,2025,4,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.5225645225544525
180,2025,4,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0816741575529389
181,2025,5,Quebranto Patrimonial,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,1.252236304970674
183,2025,5,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.5045585196401775
184,2025,5,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.072456881959714
186,2025,6,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
187,2025,6,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
189,2025,7,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
190,2025,7,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
192,2025,8,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
193,2025,8,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
195,2025,9,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
196,2025,9,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
198,2025,10,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
199,2025,10,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
201,2025,11,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
202,2025,11,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
204,2025,12,Relación entre Aportes sociales mínimos no reducibles y Capital Social,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
205,2025,12,Relación entre el Capital Institucional y el Activo Total,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
206,2021,1,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0555656490798379
207,2021,1,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0293436610091739
208,2021,1,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0196150461559958
209,2021,2,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0652299215898
210,2021,2,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0401896874947995
211,2021,2,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0182863210501865
212,2021,3,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0552651278929554
213,2021,3,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0325062900382243
214,2021,3,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0190502201702518
215,2021,4,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0560737996306247
216,2021,4,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0433327140370956
217,2021,4,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0187798797566897
218,2021,5,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0570440077822277
219,2021,5,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0404101246244084
220,2021,5,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0180907140644992
221,2021,6,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
222,2021,6,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
223,2021,6,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
224,2021,7,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
225,2021,7,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
226,2021,7,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
227,2021,8,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
228,2021,8,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
229,2021,8,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
230,2021,9,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
231,2021,9,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
232,2021,9,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
233,2021,10,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
234,2021,10,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
235,2021,10,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
236,2021,11,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
237,2021,11,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
238,2021,11,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
239,2021,12,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
240,2021,12,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
241,2021,12,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
242,2022,1,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0669537264805217
243,2022,1,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0407995301659835
244,2022,1,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0183598363023686
245,2022,2,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0770320960459698
246,2022,2,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0514484193408687
247,2022,2,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0220102244338997
248,2022,3,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0683220724276888
249,2022,3,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0368076454017746
250,2022,3,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0181271238057392
251,2022,4,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0706207580865675
252,2022,4,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0384291131825595
253,2022,4,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0180413203269077
254,2022,5,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0749861915421652
255,2022,5,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0458020494756651
256,2022,5,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0165266480130182
257,2022,6,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
258,2022,6,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
259,2022,6,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
260,2022,7,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
261,2022,7,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
262,2022,7,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
263,2022,8,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
264,2022,8,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
265,2022,8,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
266,2022,9,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
267,2022,9,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
268,2022,9,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
269,2022,10,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
270,2022,10,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
271,2022,10,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
272,2022,11,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
273,2022,11,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
274,2022,11,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
275,2022,12,Indicador de Cobertura de la Cartera Total en Riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
276,2022,12,Indicador de calidad por riesgo,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
277,2022,12,Indicador de calidad por riesgo con castigos,AVANCOP COOPERATIVA DE AHORRO Y CREDITO,0.0
